name,playerID,AB,H,X2B,X3B,HR,BB,HBP,SF,RBI,X1B,SLG,OBP,OPS,AVG,batting.runs
Ender Inciarte,inciaen01,597,158,27,6,10,49,6,4,61,115,0.38023450586264657,0.3246951219512195,0.7049296278138661,0.2646566164154104,-7.2
Trey Mancini,mancitr01,582,141,23,3,24,44,5,5,58,91,0.41580756013745707,0.29874213836477986,0.7145496985022369,0.2422680412371134,-7.4
Marcus Semien,semiema01,632,161,35,2,15,61,1,7,70,109,0.3876582278481013,0.3181169757489301,0.7057752035970314,0.254746835443038,-7.7
Alex Gordon,gordoal01,506,124,24,0,13,50,10,2,54,87,0.3695652173913043,0.323943661971831,0.6935088793631353,0.2450592885375494,-7.9
Brett Gardner,gardnbr01,530,125,20,7,12,65,5,5,45,86,0.36792452830188677,0.32231404958677684,0.6902385778886636,0.2358490566037736,-8.2
Salvador Perez,perezsa02,510,120,23,0,27,17,12,5,80,70,0.4392156862745098,0.27389705882352944,0.7131127450980392,0.23529411764705882,-8.5
Kevin Pillar,pillake01,512,129,40,2,15,18,6,6,59,72,0.42578125,0.2822878228782288,0.7080690728782288,0.251953125,-8.6
Brian Dozier,doziebr01,553,119,30,2,21,70,4,5,72,66,0.39059674502712477,0.30537974683544306,0.6959764918625678,0.21518987341772153,-9
Nick Ahmed,ahmedni01,516,121,33,5,16,40,2,5,70,67,0.4108527131782946,0.2895204262877442,0.7003731394660389,0.23449612403100775,-9.3
Jon Jay,jayjo02,527,141,19,7,3,33,18,3,40,112,0.34724857685009486,0.3304647160068847,0.6777132928569796,0.2675521821631879,-10.4
Tim Anderson,anderti01,567,136,28,3,20,30,4,3,64,85,0.4056437389770723,0.2814569536423841,0.6871006926194564,0.23985890652557318,-13.7
Carlos Sanchez,sanchca01,600,145,34,10,8,49,8,3,55,93,0.37166666666666665,0.30606060606060603,0.6777272727272727,0.24166666666666667,-13.8
Freddy Galvis,galvifr01,602,149,31,5,13,45,2,6,67,100,0.3803986710963455,0.29923664122137406,0.6796353123177196,0.24750830564784054,-14
Amed Rosario,rosaram01,554,142,26,8,9,29,3,3,51,99,0.38086642599277976,0.29541595925297115,0.6762823852457509,0.2563176895306859,-14.2
Kyle Seager,seageky01,583,129,36,1,22,38,5,4,78,70,0.3996569468267582,0.273015873015873,0.6726728198426312,0.22126929674099485,-17.1
Billy Hamilton,hamilbi02,504,119,16,9,4,46,1,4,29,90,0.3273809523809524,0.2990990990990991,0.6264800514800515,0.2361111111111111,-19.9
Dee Gordon,gordode01,556,149,17,8,4,9,9,5,36,120,0.3489208633093525,0.28842832469775476,0.6373491880071073,0.26798561151079137,-21.4
